InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales,Transaction Type,Year,Month,Month Name
536365,85123A,White Hanging Heart T-Light Holder,6,01-Dec-2010 8:26:00 am,2.55,17850,United Kingdom,15.3,Sale,2010,12,December
536365,71053,White Metal Lantern,6,01-Dec-2010 8:26:00 am,3.39,17850,United Kingdom,20.34,Sale,2010,12,December
536365,84406B,Cream Cupid Hearts Coat Hanger,8,01-Dec-2010 8:26:00 am,2.75,17850,United Kingdom,22,Sale,2010,12,December
536365,84029G,Knitted Union Flag Hot Water Bottle,6,01-Dec-2010 8:26:00 am,3.39,17850,United Kingdom,20.34,Sale,2010,12,December
536365,84029E,Red Woolly Hottie White Heart.,6,01-Dec-2010 8:26:00 am,3.39,17850,United Kingdom,20.34,Sale,2010,12,December
536365,22752,Set 7 Babushka Nesting Boxes,2,01-Dec-2010 8:26:00 am,7.65,17850,United Kingdom,15.3,Sale,2010,12,December
536365,21730,Glass Star Frosted T-Light Holder,6,01-Dec-2010 8:26:00 am,4.25,17850,United Kingdom,25.5,Sale,2010,12,December
536366,22633,Hand Warmer Union Jack,6,01-Dec-2010 8:28:00 am,1.85,17850,United Kingdom,11.1,Sale,2010,12,December
536366,22632,Hand Warmer Red Polka Dot,6,01-Dec-2010 8:28:00 am,1.85,17850,United Kingdom,11.1,Sale,2010,12,December
536367,84879,Assorted Colour Bird Ornament,32,01-Dec-2010 8:34:00 am,1.69,13047,United Kingdom,54.08,Sale,2010,12,December
536367,22745,Poppy'S Playhouse Bedroom,6,01-Dec-2010 8:34:00 am,2.1,13047,United Kingdom,12.6,Sale,2010,12,December
536367,22748,Poppy'S Playhouse Kitchen,6,01-Dec-2010 8:34:00 am,2.1,13047,United Kingdom,12.6,Sale,2010,12,December
536367,22749,Feltcraft Princess Charlotte Doll,8,01-Dec-2010 8:34:00 am,3.75,13047,United Kingdom,30,Sale,2010,12,December
536367,22310,Ivory Knitted Mug Cosy,6,01-Dec-2010 8:34:00 am,1.65,13047,United Kingdom,9.9,Sale,2010,12,December
536367,84969,Box Of 6 Assorted Colour Teaspoons,6,01-Dec-2010 8:34:00 am,4.25,13047,United Kingdom,25.5,Sale,2010,12,December
536367,22623,Box Of Vintage Jigsaw Blocks,3,01-Dec-2010 8:34:00 am,4.95,13047,United Kingdom,14.85,Sale,2010,12,December
536367,22622,Box Of Vintage Alphabet Blocks,2,01-Dec-2010 8:34:00 am,9.95,13047,United Kingdom,19.9,Sale,2010,12,December
536367,21754,Home Building Block Word,3,01-Dec-2010 8:34:00 am,5.95,13047,United Kingdom,17.85,Sale,2010,12,December
536367,21755,Love Building Block Word,3,01-Dec-2010 8:34:00 am,5.95,13047,United Kingdom,17.85,Sale,2010,12,December
536367,21777,Recipe Box With Metal Heart,4,01-Dec-2010 8:34:00 am,7.95,13047,United Kingdom,31.8,Sale,2010,12,December
